row,name,code,tweet,follow
0,N华大,300676,7301.0,17004.0
1,佩蒂股份,300673,232.0,650.0
2,国科微,300672,138.0,734.0
3,富满电子,300671,150.0,743.0
4,大烨智能,300670,197.0,760.0
5,沪宁股份,300669,172.0,644.0
6,杰恩设计,300668,350.0,1235.0
7,必创科技,300667,782.0,2192.0
8,江丰电子,300666,800.0,4862.0
9,飞鹿股份,300665,653.0,1267.0
10,科蓝软件,300663,716.0,1760.0
11,科锐国际,300662,1539.0,3151.0
12,圣邦股份,300661,265.0,1108.0
13,江苏雷利,300660,453.0,1535.0
14,中孚信息,300659,285.0,986.0
15,延江股份,300658,363.0,1918.0
16,弘信电子,300657,2671.0,5544.0
17,民德电子,300656,479.0,1193.0
18,晶瑞股份,300655,614.0,1839.0
19,正海生物,300653,1099.0,2733.0
20,雷迪克,300652,414.0,1066.0
21,金陵体育,300651,611.0,1295.0
22,太龙照明,300650,402.0,1012.0
23,杭州园林,300649,2849.0,4382.0
24,星云股份,300648,713.0,2798.0
25,超频三,300647,1269.0,2216.0
26,正元智慧,300645,523.0,1485.0
27,万通智控,300643,1422.0,2211.0
28,透景生命,300642,1367.0,8666.0
29,正丹股份,300641,469.0,1714.0
30,德艺文创,300640,336.0,1228.0
31,凯普生物,300639,376.0,2376.0
32,广和通,300638,441.0,2036.0
33,扬帆新材,300637,264.0,1102.0
34,同和药业,300636,183.0,1148.0
35,达安股份,300635,228.0,1075.0
36,开立医疗,300633,2207.0,4066.0
37,光莆股份,300632,521.0,1724.0
38,久吾高科,300631,363.0,1416.0
39,普利制药,300630,343.0,1659.0
40,新劲刚,300629,2143.0,4178.0
41,亿联网络,300628,1690.0,7323.0
42,华测导航,300627,915.0,5615.0
43,华瑞股份,300626,255.0,1089.0
44,三雄极光,300625,615.0,2055.0
45,捷捷微电,300623,903.0,5450.0
46,博士眼镜,300622,467.0,2240.0
47,维业股份,300621,221.0,1118.0
48,光库科技,300620,575.0,2434.0
49,金银河,300619,842.0,2377.0
50,寒锐钴业,300618,2530.0,9270.0
51,安靠智电,300617,445.0,1685.0
52,尚品宅配,300616,1875.0,6733.0
53,欣天科技,300615,328.0,1197.0
54,富瀚微,300613,1381.0,6505.0
55,宣亚国际,300612,2058.0,2418.0
56,美力科技,300611,1547.0,2806.0
57,晨化股份,300610,264.0,1077.0
58,汇纳科技,300609,2381.0,6576.0
59,思特奇,300608,361.0,1502.0
60,拓斯达,300607,1727.0,6438.0
61,金太阳,300606,1302.0,1752.0
62,恒锋信息,300605,309.0,1256.0
63,长川科技,300604,829.0,2417.0
64,立昂技术,300603,1219.0,2783.0
65,飞荣达,300602,481.0,1723.0
66,康泰生物,300601,760.0,2747.0
67,瑞特股份,300600,823.0,2531.0
68,雄塑科技,300599,1148.0,3013.0
69,诚迈科技,300598,689.0,2380.0
70,吉大通信,300597,423.0,1587.0
71,利安隆,300596,420.0,1632.0
72,欧普康视,300595,1671.0,9836.0
73,新雷能,300593,463.0,1647.0
74,华凯创意,300592,675.0,1609.0
75,万里马,300591,3243.0,4679.0
76,移为通信,300590,878.0,4392.0
77,江龙船艇,300589,1045.0,3021.0
78,熙菱信息,300588,925.0,2998.0
79,天铁股份,300587,349.0,1159.0
80,美联新材,300586,466.0,1456.0
81,奥联电子,300585,942.0,2356.0
82,海辰药业,300584,509.0,1656.0
83,赛托生物,300583,466.0,1693.0
84,英飞特,300582,640.0,1832.0
85,晨曦航空,300581,579.0,2194.0
86,贝斯特,300580,814.0,2394.0
87,数字认证,300579,1244.0,4356.0
88,会畅通讯,300578,432.0,1442.0
89,开润股份,300577,1129.0,4445.0
90,容大感光,300576,555.0,2166.0
91,中旗股份,300575,640.0,2215.0
92,兴齐眼药,300573,756.0,2500.0
93,安车检测,300572,753.0,2393.0
94,平治信息,300571,1947.0,4790.0
95,太辰光,300570,541.0,1877.0
96,天能重工,300569,717.0,2119.0
97,星源材质,300568,1524.0,5505.0
98,精测电子,300567,1327.0,6114.0
99,激智科技,300566,974.0,3316.0
100,科信技术,300565,589.0,1899.0
101,神宇股份,300563,600.0,1814.0
102,乐心医疗,300562,3694.0,9817.0
103,汇金科技,300561,1597.0,3849.0
104,中富通,300560,595.0,2002.0
105,佳发安泰,300559,650.0,2000.0
106,贝达药业,300558,2866.0,12714.0
107,理工光科,300557,597.0,2467.0
108,丝路视觉,300556,3316.0,13400.0
109,路通视信,300555,606.0,1882.0
110,三超新材,300554,668.0,2261.0
111,集智股份,300553,633.0,2647.0
112,万集科技,300552,839.0,2908.0
113,古鳌科技,300551,468.0,1640.0
114,和仁科技,300550,769.0,3249.0
115,优德精密,300549,944.0,2558.0
116,博创科技,300548,839.0,3234.0
117,川环科技,300547,938.0,2429.0
118,雄帝科技,300546,2059.0,4760.0
119,联得装备,300545,1343.0,3289.0
120,朗科智能,300543,1574.0,3846.0
121,新晨科技,300542,853.0,2581.0
122,先进数通,300541,945.0,2631.0
123,深冷股份,300540,881.0,2025.0
124,横河模具,300539,1470.0,2992.0
125,同益股份,300538,1783.0,3550.0
126,广信材料,300537,1601.0,2589.0
127,农尚环境,300536,721.0,2021.0
128,达威股份,300535,755.0,1926.0
129,陇神戎发,300534,4867.0,7835.0
130,冰川网络,300533,2159.0,5303.0
131,今天国际,300532,1982.0,4057.0
132,优博讯,300531,5978.0,10195.0
133,达志科技,300530,1184.0,2789.0
134,健帆生物,300529,2185.0,17357.0
